"y1999";"y2009";"y2018";"Freq";"area_km2";"Type";"from_1999";"from_2009";"to_2018"
"2";"2";"2";2002389;16219,3509;"Stable";"Native";"Native";"Native"
"5";"5";"5";1777547;14398,1307;"Stable";"Crop";"Crop";"Crop"
"4";"4";"4";670079;5427,6399;"Stable";"Shrub";"Shrub";"Shrub"
"3";"3";"3";568636;4605,9516;"Stable";"Plant";"Plant";"Plant"
"1";"1";"1";430362;3485,9322;"Stable";"Water_Bare";"Water_Bare";"Water_Bare"
"3";"3";"4";332791;2695,6071;"Dynamic";"Plant";"Plant";"Shrub"
"2";"2";"4";305315;2473,0515;"Dynamic";"Native";"Native";"Shrub"
"2";"2";"3";164841;1335,2121;"Dynamic";"Native";"Native";"Plant"
"5";"5";"4";146505;1186,6905;"Dynamic";"Crop";"Crop";"Shrub"
"2";"3";"3";114431;926,8911;"Dynamic";"Native";"Plant";"Plant"
"5";"5";"3";113380;918,378;"Dynamic";"Crop";"Crop";"Plant"
"6";"6";"6";96708;783,3348;"Stable";"Grass";"Grass";"Grass"
"5";"3";"3";94401;764,6481;"Dynamic";"Crop";"Plant";"Plant"
"2";"4";"4";91832;743,8392;"Dynamic";"Native";"Shrub";"Shrub"
"3";"4";"4";83406;675,5886;"Dynamic";"Plant";"Shrub";"Shrub"
"5";"4";"4";52881;428,3361;"Dynamic";"Crop";"Shrub";"Shrub"
"3";"4";"3";48845;395,6445;"Dynamic";"Plant";"Shrub";"Plant"
"4";"3";"3";47756;386,8236;"Dynamic";"Shrub";"Plant";"Plant"
"2";"3";"4";46376;375,6456;"Dynamic";"Native";"Plant";"Shrub"
"4";"3";"4";46117;373,5477;"Dynamic";"Shrub";"Plant";"Shrub"
"5";"3";"4";44680;361,908;"Dynamic";"Crop";"Plant";"Shrub"
"4";"4";"5";41993;340,1433;"Dynamic";"Shrub";"Shrub";"Crop"
"4";"2";"2";38053;308,2293;"Dynamic";"Shrub";"Native";"Native"
"8";"8";"8";37500;303,75;"Stable";"Urban";"Urban";"Urban"
"6";"4";"4";34077;276,0237;"Dynamic";"Grass";"Shrub";"Shrub"
"4";"5";"5";31878;258,2118;"Dynamic";"Shrub";"Crop";"Crop"
"3";"5";"5";31859;258,0579;"Dynamic";"Plant";"Crop";"Crop"
"5";"5";"6";31383;254,2023;"Dynamic";"Crop";"Crop";"Grass"
"2";"4";"2";30915;250,4115;"Dynamic";"Native";"Shrub";"Native"
"4";"4";"2";28443;230,3883;"Dynamic";"Shrub";"Shrub";"Native"
"5";"4";"3";27222;220,4982;"Dynamic";"Crop";"Shrub";"Plant"
"6";"6";"4";25822;209,1582;"Dynamic";"Grass";"Grass";"Shrub"
"5";"5";"2";25274;204,7194;"Dynamic";"Crop";"Crop";"Native"
